Stazione, Bergamo - via Meucci
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,41
2018/01/02,20
2018/01/03,27
2018/01/04,27
2018/01/05,47
2018/01/06,36
2018/01/07,39
2018/01/08,28
2018/01/09,26
2018/01/10,21
2018/01/11,33
2018/01/12,32
2018/01/13,39
2018/01/14,36
2018/01/15,65
2018/01/16,65
2018/01/17,33
2018/01/18,20
2018/01/19,40
2018/01/20,-999
2018/01/21,13
2018/01/22,36
2018/01/23,56
2018/01/24,63
2018/01/25,61
2018/01/26,77
2018/01/27,53
2018/01/28,42
2018/01/29,62
2018/01/30,47
2018/01/31,64
2018/02/01,25
2018/02/02,17
2018/02/03,28
2018/02/04,21
2018/02/05,18
2018/02/06,28
2018/02/07,41
2018/02/08,56
2018/02/09,36
2018/02/10,41
2018/02/11,45
2018/02/12,44
2018/02/13,29
2018/02/14,37
2018/02/15,54
2018/02/16,86
2018/02/17,85
2018/02/18,62
2018/02/19,30
2018/02/20,48
2018/02/21,53
2018/02/22,48
2018/02/23,40
2018/02/24,42
2018/02/25,24
2018/02/26,29
2018/02/27,34
2018/02/28,50
2018/03/01,63
2018/03/02,85
2018/03/03,51
2018/03/04,49
2018/03/05,61
2018/03/06,56
2018/03/07,33
2018/03/08,29
2018/03/09,34
2018/03/10,34
2018/03/11,25
2018/03/12,19
2018/03/13,33
2018/03/14,30
2018/03/15,26
2018/03/16,21
2018/03/17,20
2018/03/18,8
2018/03/19,11
2018/03/20,32
2018/03/21,31
2018/03/22,36
2018/03/23,51
2018/03/24,35
2018/03/25,28
2018/03/26,48
2018/03/27,46
2018/03/28,42
2018/03/29,44
2018/03/30,30
2018/03/31,13
2018/04/01,6
2018/04/02,14
2018/04/03,26
2018/04/04,15
2018/04/05,43
2018/04/06,44
2018/04/07,60
2018/04/08,45
2018/04/09,29
2018/04/10,16
2018/04/11,11
2018/04/12,10
2018/04/13,9
2018/04/14,15
2018/04/15,20
2018/04/16,30
2018/04/17,45
2018/04/18,38
2018/04/19,43
2018/04/20,41
2018/04/21,41
2018/04/22,34
2018/04/23,38
2018/04/24,48
2018/04/25,38
2018/04/26,33
2018/04/27,37
2018/04/28,33
2018/04/29,30
2018/04/30,15
2018/05/01,12
2018/05/02,11
2018/05/03,25
2018/05/04,21
2018/05/05,29
2018/05/06,22
2018/05/07,19
2018/05/08,21
2018/05/09,14
2018/05/10,15
2018/05/11,20
2018/05/12,16
2018/05/13,12
2018/05/14,9
2018/05/15,18
2018/05/16,28
2018/05/17,14
2018/05/18,18
2018/05/19,12
2018/05/20,11
2018/05/21,12
2018/05/22,22
2018/05/23,15
2018/05/24,14
2018/05/25,22
2018/05/26,29
2018/05/27,28
2018/05/28,14
2018/05/29,15
2018/05/30,28
2018/05/31,28
2018/06/01,23
2018/06/02,21
2018/06/03,26
2018/06/04,23
2018/06/05,25
2018/06/06,16
2018/06/07,16
2018/06/08,11
2018/06/09,11
2018/06/10,14
2018/06/11,28
2018/06/12,23
2018/06/13,11
2018/06/14,10
2018/06/15,15
2018/06/16,18
2018/06/17,19
2018/06/18,13
2018/06/19,17
2018/06/20,24
2018/06/21,25
2018/06/22,20
2018/06/23,16
2018/06/24,13
2018/06/25,14
2018/06/26,13
2018/06/27,16
2018/06/28,14
2018/06/29,12
2018/06/30,12
2018/07/01,19
2018/07/02,24
2018/07/03,27
2018/07/04,18
2018/07/05,11
2018/07/06,13
2018/07/07,12
2018/07/08,8
2018/07/09,13
2018/07/10,-999
2018/07/11,-999
2018/07/12,23
2018/07/13,-999
2018/07/14,-999
2018/07/15,-999
2018/07/16,-999
2018/07/17,13
2018/07/18,16
2018/07/19,17
2018/07/20,19
2018/07/21,9
2018/07/22,6
2018/07/23,11
2018/07/24,17
2018/07/25,21
2018/07/26,20
2018/07/27,14
2018/07/28,18
2018/07/29,11
2018/07/30,18
2018/07/31,21
2018/08/01,20
2018/08/02,13
2018/08/03,13
2018/08/04,9
2018/08/05,12
2018/08/06,18
2018/08/07,11
2018/08/08,19
2018/08/09,17
2018/08/10,12
2018/08/11,15
2018/08/12,9
2018/08/13,8
2018/08/14,9
2018/08/15,4
2018/08/16,8
2018/08/17,14
2018/08/18,11
2018/08/19,8
2018/08/20,10
2018/08/21,12
2018/08/22,14
2018/08/23,17
2018/08/24,10
2018/08/25,9
2018/08/26,8
2018/08/27,6
2018/08/28,12
2018/08/29,15
2018/08/30,23
2018/08/31,11
2018/09/01,3
2018/09/02,10
2018/09/03,7
2018/09/04,10
2018/09/05,14
2018/09/06,23
2018/09/07,12
2018/09/08,15
2018/09/09,18
2018/09/10,22
2018/09/11,-999
2018/09/12,-999
2018/09/13,36
2018/09/14,17
2018/09/15,34
2018/09/16,26
2018/09/17,26
2018/09/18,21
2018/09/19,25
2018/09/20,28
2018/09/21,30
2018/09/22,24
2018/09/23,28
2018/09/24,19
2018/09/25,14
2018/09/26,-999
2018/09/27,35
2018/09/28,35
2018/09/29,26
2018/09/30,28
2018/10/01,19
2018/10/02,16
2018/10/03,35
2018/10/04,41
2018/10/05,33
2018/10/06,47
2018/10/07,37
2018/10/08,36
2018/10/09,51
2018/10/10,39
2018/10/11,30
2018/10/12,27
2018/10/13,49
2018/10/14,43
2018/10/15,43
2018/10/16,37
2018/10/17,46
2018/10/18,34
2018/10/19,41
2018/10/20,60
2018/10/21,57
2018/10/22,18
2018/10/23,26
2018/10/24,9
2018/10/25,39
2018/10/26,32
2018/10/27,21
2018/10/28,6
2018/10/29,17
2018/10/30,9
2018/10/31,8
2018/11/01,10
2018/11/02,15
2018/11/03,6
2018/11/04,19
2018/11/05,10
2018/11/06,5
2018/11/07,9
2018/11/08,17
2018/11/09,12
2018/11/10,32
2018/11/11,20
2018/11/12,26
2018/11/13,33
2018/11/14,32
2018/11/15,35
2018/11/16,30
2018/11/17,23
2018/11/18,22
2018/11/19,36
2018/11/20,31
2018/11/21,25
2018/11/22,43
2018/11/23,47
2018/11/24,12
2018/11/25,22
2018/11/26,28
2018/11/27,31
2018/11/28,26
2018/11/29,37
2018/11/30,57
2018/12/01,62
2018/12/02,60
2018/12/03,73
2018/12/04,56
2018/12/05,36
2018/12/06,58
2018/12/07,66
2018/12/08,29
2018/12/09,21
2018/12/10,5
2018/12/11,17
2018/12/12,30
2018/12/13,34
2018/12/14,43
2018/12/15,55
2018/12/16,70
2018/12/17,82
2018/12/18,58
2018/12/19,60
2018/12/20,25
2018/12/21,43
2018/12/22,46
2018/12/23,43
2018/12/24,38
2018/12/25,31
2018/12/26,46
2018/12/27,66
2018/12/28,55
2018/12/29,40
2018/12/30,29
2018/12/31,34
