Stazione, Brescia - Villaggio Sereno
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,55
2018/01/02,33
2018/01/03,41
2018/01/04,49
2018/01/05,62
2018/01/06,54
2018/01/07,45
2018/01/08,22
2018/01/09,28
2018/01/10,29
2018/01/11,59
2018/01/12,41
2018/01/13,45
2018/01/14,47
2018/01/15,61
2018/01/16,69
2018/01/17,46
2018/01/18,35
2018/01/19,52
2018/01/20,42
2018/01/21,27
2018/01/22,36
2018/01/23,51
2018/01/24,63
2018/01/25,80
2018/01/26,76
2018/01/27,54
2018/01/28,50
2018/01/29,59
2018/01/30,48
2018/01/31,56
2018/02/01,35
2018/02/02,25
2018/02/03,26
2018/02/04,20
2018/02/05,20
2018/02/06,30
2018/02/07,37
2018/02/08,58
2018/02/09,52
2018/02/10,53
2018/02/11,49
2018/02/12,34
2018/02/13,27
2018/02/14,37
2018/02/15,57
2018/02/16,86
2018/02/17,71
2018/02/18,54
2018/02/19,30
2018/02/20,37
2018/02/21,54
2018/02/22,-999
2018/02/23,-999
2018/02/24,42
2018/02/25,23
2018/02/26,27
2018/02/27,-999
2018/02/28,50
2018/03/01,59
2018/03/02,78
2018/03/03,45
2018/03/04,46
2018/03/05,73
2018/03/06,58
2018/03/07,41
2018/03/08,-999
2018/03/09,50
2018/03/10,37
2018/03/11,20
2018/03/12,25
2018/03/13,44
2018/03/14,46
2018/03/15,33
2018/03/16,33
2018/03/17,24
2018/03/18,13
2018/03/19,17
2018/03/20,33
2018/03/21,30
2018/03/22,35
2018/03/23,41
2018/03/24,26
2018/03/25,33
2018/03/26,55
2018/03/27,53
2018/03/28,46
2018/03/29,47
2018/03/30,32
2018/03/31,13
2018/04/01,12
2018/04/02,15
2018/04/03,32
2018/04/04,15
2018/04/05,42
2018/04/06,48
2018/04/07,-999
2018/04/08,-999
2018/04/09,-999
2018/04/10,25
2018/04/11,12
2018/04/12,19
2018/04/13,15
2018/04/14,18
2018/04/15,20
2018/04/16,32
2018/04/17,37
2018/04/18,29
2018/04/19,31
2018/04/20,32
2018/04/21,31
2018/04/22,30
2018/04/23,42
2018/04/24,50
2018/04/25,43
2018/04/26,42
2018/04/27,18
2018/04/28,31
2018/04/29,34
2018/04/30,17
2018/05/01,10
2018/05/02,19
2018/05/03,34
2018/05/04,23
2018/05/05,25
2018/05/06,23
2018/05/07,22
2018/05/08,26
2018/05/09,14
2018/05/10,17
2018/05/11,-999
2018/05/12,-999
2018/05/13,-999
2018/05/14,-999
2018/05/15,15
2018/05/16,36
2018/05/17,26
2018/05/18,24
2018/05/19,15
2018/05/20,12
2018/05/21,19
2018/05/22,29
2018/05/23,19
2018/05/24,21
2018/05/25,32
2018/05/26,44
2018/05/27,27
2018/05/28,24
2018/05/29,28
2018/05/30,38
2018/05/31,39
2018/06/01,27
2018/06/02,29
2018/06/03,35
2018/06/04,28
2018/06/05,36
2018/06/06,23
2018/06/07,25
2018/06/08,16
2018/06/09,22
2018/06/10,29
2018/06/11,31
2018/06/12,25
2018/06/13,-999
2018/06/14,12
2018/06/15,20
2018/06/16,19
2018/06/17,21
2018/06/18,17
2018/06/19,14
2018/06/20,21
2018/06/21,30
2018/06/22,17
2018/06/23,14
2018/06/24,12
2018/06/25,11
2018/06/26,10
2018/06/27,18
2018/06/28,16
2018/06/29,17
2018/06/30,19
2018/07/01,25
2018/07/02,33
2018/07/03,29
2018/07/04,23
2018/07/05,13
2018/07/06,16
2018/07/07,8
2018/07/08,8
2018/07/09,18
2018/07/10,17
2018/07/11,21
2018/07/12,27
2018/07/13,27
2018/07/14,23
2018/07/15,18
2018/07/16,13
2018/07/17,18
2018/07/18,14
2018/07/19,23
2018/07/20,26
2018/07/21,14
2018/07/22,11
2018/07/23,13
2018/07/24,23
2018/07/25,17
2018/07/26,20
2018/07/27,20
2018/07/28,20
2018/07/29,13
2018/07/30,20
2018/07/31,26
2018/08/01,24
2018/08/02,20
2018/08/03,18
2018/08/04,14
2018/08/05,15
2018/08/06,27
2018/08/07,20
2018/08/08,29
2018/08/09,25
2018/08/10,21
2018/08/11,18
2018/08/12,14
2018/08/13,15
2018/08/14,20
2018/08/15,7
2018/08/16,11
2018/08/17,13
2018/08/18,19
2018/08/19,12
2018/08/20,18
2018/08/21,21
2018/08/22,20
2018/08/23,25
2018/08/24,22
2018/08/25,18
2018/08/26,-999
2018/08/27,-999
2018/08/28,20
2018/08/29,15
2018/08/30,24
2018/08/31,20
2018/09/01,7
2018/09/02,9
2018/09/03,12
2018/09/04,16
2018/09/05,19
2018/09/06,27
2018/09/07,20
2018/09/08,18
2018/09/09,18
2018/09/10,28
2018/09/11,39
2018/09/12,45
2018/09/13,44
2018/09/14,42
2018/09/15,29
2018/09/16,27
2018/09/17,29
2018/09/18,31
2018/09/19,34
2018/09/20,34
2018/09/21,39
2018/09/22,36
2018/09/23,31
2018/09/24,21
2018/09/25,15
2018/09/26,20
2018/09/27,36
2018/09/28,46
2018/09/29,23
2018/09/30,23
2018/10/01,26
2018/10/02,24
2018/10/03,37
2018/10/04,24
2018/10/05,37
2018/10/06,39
2018/10/07,-999
2018/10/08,-999
2018/10/09,43
2018/10/10,39
2018/10/11,34
2018/10/12,48
2018/10/13,49
2018/10/14,38
2018/10/15,44
2018/10/16,39
2018/10/17,42
2018/10/18,49
2018/10/19,51
2018/10/20,51
2018/10/21,48
2018/10/22,25
2018/10/23,41
2018/10/24,47
2018/10/25,49
2018/10/26,36
2018/10/27,22
2018/10/28,14
2018/10/29,21
2018/10/30,10
2018/10/31,10
2018/11/01,13
2018/11/02,20
2018/11/03,-999
2018/11/04,-999
2018/11/05,9
2018/11/06,10
2018/11/07,17
2018/11/08,26
2018/11/09,40
2018/11/10,-999
2018/11/11,-999
2018/11/12,-999
2018/11/13,48
2018/11/14,42
2018/11/15,46
2018/11/16,29
2018/11/17,26
2018/11/18,27
2018/11/19,29
2018/11/20,27
2018/11/21,34
2018/11/22,54
2018/11/23,56
2018/11/24,19
2018/11/25,33
2018/11/26,41
2018/11/27,46
2018/11/28,38
2018/11/29,43
2018/11/30,57
2018/12/01,-999
2018/12/02,-999
2018/12/03,80
2018/12/04,75
2018/12/05,52
2018/12/06,70
2018/12/07,75
2018/12/08,42
2018/12/09,36
2018/12/10,22
2018/12/11,24
2018/12/12,27
2018/12/13,39
2018/12/14,42
2018/12/15,56
2018/12/16,72
2018/12/17,78
2018/12/18,82
2018/12/19,82
2018/12/20,47
2018/12/21,57
2018/12/22,60
2018/12/23,46
2018/12/24,44
2018/12/25,43
2018/12/26,41
2018/12/27,49
2018/12/28,74
2018/12/29,59
2018/12/30,46
2018/12/31,58
