Stazione, Como - viale Cattaneo
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,50
2018/01/02,35
2018/01/03,18
2018/01/04,13
2018/01/05,-999
2018/01/06,31
2018/01/07,32
2018/01/08,30
2018/01/09,28
2018/01/10,20
2018/01/11,31
2018/01/12,37
2018/01/13,31
2018/01/14,46
2018/01/15,69
2018/01/16,68
2018/01/17,30
2018/01/18,23
2018/01/19,25
2018/01/20,35
2018/01/21,8
2018/01/22,36
2018/01/23,65
2018/01/24,76
2018/01/25,52
2018/01/26,81
2018/01/27,41
2018/01/28,42
2018/01/29,58
2018/01/30,58
2018/01/31,71
2018/02/01,42
2018/02/02,22
2018/02/03,30
2018/02/04,27
2018/02/05,25
2018/02/06,30
2018/02/07,35
2018/02/08,55
2018/02/09,55
2018/02/10,41
2018/02/11,51
2018/02/12,54
2018/02/13,31
2018/02/14,32
2018/02/15,55
2018/02/16,71
2018/02/17,91
2018/02/18,74
2018/02/19,36
2018/02/20,57
2018/02/21,53
2018/02/22,48
2018/02/23,40
2018/02/24,47
2018/02/25,27
2018/02/26,32
2018/02/27,41
2018/02/28,52
2018/03/01,73
2018/03/02,63
2018/03/03,-999
2018/03/04,45
2018/03/05,55
2018/03/06,59
2018/03/07,43
2018/03/08,29
2018/03/09,34
2018/03/10,31
2018/03/11,24
2018/03/12,25
2018/03/13,30
2018/03/14,21
2018/03/15,20
2018/03/16,19
2018/03/17,17
2018/03/18,8
2018/03/19,16
2018/03/20,33
2018/03/21,31
2018/03/22,36
2018/03/23,50
2018/03/24,41
2018/03/25,29
2018/03/26,45
2018/03/27,30
2018/03/28,41
2018/03/29,43
2018/03/30,21
2018/03/31,11
2018/04/01,7
2018/04/02,16
2018/04/03,25
2018/04/04,18
2018/04/05,17
2018/04/06,24
2018/04/07,46
2018/04/08,37
2018/04/09,-999
2018/04/10,12
2018/04/11,10
2018/04/12,11
2018/04/13,8
2018/04/14,15
2018/04/15,16
2018/04/16,25
2018/04/17,35
2018/04/18,36
2018/04/19,36
2018/04/20,36
2018/04/21,31
2018/04/22,31
2018/04/23,35
2018/04/24,32
2018/04/25,33
2018/04/26,29
2018/04/27,30
2018/04/28,32
2018/04/29,23
2018/04/30,15
2018/05/01,12
2018/05/02,12
2018/05/03,17
2018/05/04,23
2018/05/05,25
2018/05/06,24
2018/05/07,18
2018/05/08,20
2018/05/09,13
2018/05/10,13
2018/05/11,17
2018/05/12,13
2018/05/13,15
2018/05/14,4
2018/05/15,11
2018/05/16,22
2018/05/17,16
2018/05/18,18
2018/05/19,8
2018/05/20,7
2018/05/21,12
2018/05/22,24
2018/05/23,13
2018/05/24,16
2018/05/25,15
2018/05/26,24
2018/05/27,21
2018/05/28,12
2018/05/29,17
2018/05/30,23
2018/05/31,20
2018/06/01,21
2018/06/02,21
2018/06/03,20
2018/06/04,20
2018/06/05,22
2018/06/06,17
2018/06/07,14
2018/06/08,9
2018/06/09,11
2018/06/10,16
2018/06/11,24
2018/06/12,24
2018/06/13,11
2018/06/14,9
2018/06/15,12
2018/06/16,17
2018/06/17,18
2018/06/18,16
2018/06/19,23
2018/06/20,25
2018/06/21,27
2018/06/22,13
2018/06/23,16
2018/06/24,16
2018/06/25,16
2018/06/26,17
2018/06/27,16
2018/06/28,14
2018/06/29,15
2018/06/30,20
2018/07/01,24
2018/07/02,23
2018/07/03,25
2018/07/04,17
2018/07/05,17
2018/07/06,11
2018/07/07,12
2018/07/08,11
2018/07/09,17
2018/07/10,23
2018/07/11,18
2018/07/12,26
2018/07/13,30
2018/07/14,-999
2018/07/15,-999
2018/07/16,-999
2018/07/17,12
2018/07/18,16
2018/07/19,21
2018/07/20,28
2018/07/21,9
2018/07/22,11
2018/07/23,12
2018/07/24,17
2018/07/25,25
2018/07/26,25
2018/07/27,18
2018/07/28,23
2018/07/29,11
2018/07/30,20
2018/07/31,23
2018/08/01,24
2018/08/02,16
2018/08/03,21
2018/08/04,20
2018/08/05,18
2018/08/06,19
2018/08/07,11
2018/08/08,18
2018/08/09,13
2018/08/10,17
2018/08/11,16
2018/08/12,17
2018/08/13,15
2018/08/14,13
2018/08/15,14
2018/08/16,15
2018/08/17,18
2018/08/18,15
2018/08/19,13
2018/08/20,15
2018/08/21,17
2018/08/22,19
2018/08/23,21
2018/08/24,13
2018/08/25,14
2018/08/26,5
2018/08/27,11
2018/08/28,16
2018/08/29,20
2018/08/30,26
2018/08/31,16
2018/09/01,9
2018/09/02,12
2018/09/03,9
2018/09/04,14
2018/09/05,17
2018/09/06,20
2018/09/07,16
2018/09/08,20
2018/09/09,19
2018/09/10,24
2018/09/11,28
2018/09/12,32
2018/09/13,34
2018/09/14,22
2018/09/15,29
2018/09/16,24
2018/09/17,28
2018/09/18,28
2018/09/19,24
2018/09/20,29
2018/09/21,31
2018/09/22,31
2018/09/23,30
2018/09/24,15
2018/09/25,14
2018/09/26,18
2018/09/27,30
2018/09/28,23
2018/09/29,22
2018/09/30,25
2018/10/01,-999
2018/10/02,18
2018/10/03,30
2018/10/04,28
2018/10/05,31
2018/10/06,49
2018/10/07,26
2018/10/08,28
2018/10/09,45
2018/10/10,41
2018/10/11,33
2018/10/12,26
2018/10/13,42
2018/10/14,43
2018/10/15,44
2018/10/16,43
2018/10/17,49
2018/10/18,33
2018/10/19,32
2018/10/20,58
2018/10/21,51
2018/10/22,19
2018/10/23,25
2018/10/24,23
2018/10/25,47
2018/10/26,36
2018/10/27,21
2018/10/28,3
2018/10/29,9
2018/10/30,-999
2018/10/31,11
2018/11/01,12
2018/11/02,17
2018/11/03,16
2018/11/04,19
2018/11/05,20
2018/11/06,13
2018/11/07,16
2018/11/08,29
2018/11/09,14
2018/11/10,25
2018/11/11,14
2018/11/12,20
2018/11/13,28
2018/11/14,36
2018/11/15,40
2018/11/16,31
2018/11/17,40
2018/11/18,29
2018/11/19,32
2018/11/20,33
2018/11/21,31
2018/11/22,43
2018/11/23,28
2018/11/24,12
2018/11/25,22
2018/11/26,23
2018/11/27,17
2018/11/28,30
2018/11/29,52
2018/11/30,68
2018/12/01,84
2018/12/02,72
2018/12/03,76
2018/12/04,41
2018/12/05,44
2018/12/06,60
2018/12/07,70
2018/12/08,28
2018/12/09,11
2018/12/10,5
2018/12/11,10
2018/12/12,27
2018/12/13,30
2018/12/14,52
2018/12/15,66
2018/12/16,85
2018/12/17,80
2018/12/18,82
2018/12/19,67
2018/12/20,36
2018/12/21,41
2018/12/22,29
2018/12/23,58
2018/12/24,31
2018/12/25,30
2018/12/26,48
2018/12/27,51
2018/12/28,71
2018/12/29,69
2018/12/30,33
2018/12/31,46
