Stazione, Milano - via Senato
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,40
2018/01/02,36
2018/01/03,32
2018/01/04,34
2018/01/05,63
2018/01/06,47
2018/01/07,58
2018/01/08,28
2018/01/09,20
2018/01/10,32
2018/01/11,50
2018/01/12,52
2018/01/13,55
2018/01/14,58
2018/01/15,64
2018/01/16,58
2018/01/17,54
2018/01/18,43
2018/01/19,52
2018/01/20,70
2018/01/21,14
2018/01/22,40
2018/01/23,79
2018/01/24,75
2018/01/25,82
2018/01/26,93
2018/01/27,49
2018/01/28,54
2018/01/29,65
2018/01/30,47
2018/01/31,57
2018/02/01,37
2018/02/02,33
2018/02/03,26
2018/02/04,32
2018/02/05,26
2018/02/06,28
2018/02/07,27
2018/02/08,46
2018/02/09,36
2018/02/10,41
2018/02/11,59
2018/02/12,52
2018/02/13,22
2018/02/14,37
2018/02/15,56
2018/02/16,88
2018/02/17,97
2018/02/18,55
2018/02/19,26
2018/02/20,52
2018/02/21,50
2018/02/22,37
2018/02/23,30
2018/02/24,32
2018/02/25,26
2018/02/26,29
2018/02/27,-999
2018/02/28,-999
2018/03/01,64
2018/03/02,75
2018/03/03,49
2018/03/04,44
2018/03/05,60
2018/03/06,55
2018/03/07,50
2018/03/08,-999
2018/03/09,-999
2018/03/10,14
2018/03/11,23
2018/03/12,27
2018/03/13,40
2018/03/14,34
2018/03/15,30
2018/03/16,16
2018/03/17,21
2018/03/18,9
2018/03/19,14
2018/03/20,30
2018/03/21,28
2018/03/22,36
2018/03/23,49
2018/03/24,38
2018/03/25,27
2018/03/26,57
2018/03/27,50
2018/03/28,47
2018/03/29,63
2018/03/30,40
2018/03/31,20
2018/04/01,15
2018/04/02,19
2018/04/03,24
2018/04/04,24
2018/04/05,33
2018/04/06,49
2018/04/07,31
2018/04/08,32
2018/04/09,22
2018/04/10,19
2018/04/11,18
2018/04/12,17
2018/04/13,16
2018/04/14,23
2018/04/15,29
2018/04/16,34
2018/04/17,55
2018/04/18,49
2018/04/19,41
2018/04/20,50
2018/04/21,49
2018/04/22,36
2018/04/23,39
2018/04/24,38
2018/04/25,35
2018/04/26,34
2018/04/27,38
2018/04/28,39
2018/04/29,34
2018/04/30,18
2018/05/01,14
2018/05/02,14
2018/05/03,26
2018/05/04,34
2018/05/05,29
2018/05/06,30
2018/05/07,25
2018/05/08,24
2018/05/09,19
2018/05/10,-999
2018/05/11,32
2018/05/12,21
2018/05/13,19
2018/05/14,8
2018/05/15,10
2018/05/16,16
2018/05/17,26
2018/05/18,24
2018/05/19,25
2018/05/20,13
2018/05/21,16
2018/05/22,22
2018/05/23,23
2018/05/24,24
2018/05/25,25
2018/05/26,38
2018/05/27,33
2018/05/28,18
2018/05/29,25
2018/05/30,38
2018/05/31,27
2018/06/01,25
2018/06/02,20
2018/06/03,18
2018/06/04,31
2018/06/05,29
2018/06/06,20
2018/06/07,16
2018/06/08,16
2018/06/09,18
2018/06/10,22
2018/06/11,33
2018/06/12,32
2018/06/13,18
2018/06/14,14
2018/06/15,17
2018/06/16,21
2018/06/17,20
2018/06/18,19
2018/06/19,25
2018/06/20,24
2018/06/21,30
2018/06/22,26
2018/06/23,18
2018/06/24,18
2018/06/25,21
2018/06/26,15
2018/06/27,25
2018/06/28,16
2018/06/29,23
2018/06/30,22
2018/07/01,25
2018/07/02,30
2018/07/03,28
2018/07/04,18
2018/07/05,17
2018/07/06,20
2018/07/07,17
2018/07/08,14
2018/07/09,18
2018/07/10,19
2018/07/11,21
2018/07/12,-999
2018/07/13,26
2018/07/14,36
2018/07/15,20
2018/07/16,20
2018/07/17,23
2018/07/18,23
2018/07/19,22
2018/07/20,26
2018/07/21,21
2018/07/22,18
2018/07/23,15
2018/07/24,16
2018/07/25,18
2018/07/26,35
2018/07/27,20
2018/07/28,19
2018/07/29,17
2018/07/30,22
2018/07/31,29
2018/08/01,33
2018/08/02,21
2018/08/03,25
2018/08/04,21
2018/08/05,17
2018/08/06,27
2018/08/07,19
2018/08/08,11
2018/08/09,24
2018/08/10,19
2018/08/11,19
2018/08/12,18
2018/08/13,17
2018/08/14,16
2018/08/15,10
2018/08/16,13
2018/08/17,15
2018/08/18,22
2018/08/19,20
2018/08/20,20
2018/08/21,22
2018/08/22,25
2018/08/23,30
2018/08/24,20
2018/08/25,18
2018/08/26,11
2018/08/27,9
2018/08/28,24
2018/08/29,22
2018/08/30,29
2018/08/31,19
2018/09/01,12
2018/09/02,11
2018/09/03,14
2018/09/04,18
2018/09/05,21
2018/09/06,31
2018/09/07,26
2018/09/08,30
2018/09/09,26
2018/09/10,35
2018/09/11,-999
2018/09/12,51
2018/09/13,48
2018/09/14,24
2018/09/15,41
2018/09/16,38
2018/09/17,41
2018/09/18,44
2018/09/19,50
2018/09/20,50
2018/09/21,50
2018/09/22,36
2018/09/23,29
2018/09/24,23
2018/09/25,25
2018/09/26,27
2018/09/27,50
2018/09/28,53
2018/09/29,42
2018/09/30,28
2018/10/01,22
2018/10/02,18
2018/10/03,43
2018/10/04,58
2018/10/05,46
2018/10/06,49
2018/10/07,36
2018/10/08,43
2018/10/09,52
2018/10/10,62
2018/10/11,55
2018/10/12,39
2018/10/13,63
2018/10/14,57
2018/10/15,56
2018/10/16,54
2018/10/17,67
2018/10/18,67
2018/10/19,61
2018/10/20,71
2018/10/21,68
2018/10/22,25
2018/10/23,45
2018/10/24,23
2018/10/25,66
2018/10/26,35
2018/10/27,27
2018/10/28,14
2018/10/29,14
2018/10/30,17
2018/10/31,20
2018/11/01,17
2018/11/02,28
2018/11/03,15
2018/11/04,25
2018/11/05,20
2018/11/06,18
2018/11/07,22
2018/11/08,23
2018/11/09,29
2018/11/10,37
2018/11/11,35
2018/11/12,27
2018/11/13,33
2018/11/14,54
2018/11/15,66
2018/11/16,33
2018/11/17,24
2018/11/18,22
2018/11/19,36
2018/11/20,30
2018/11/21,36
2018/11/22,46
2018/11/23,42
2018/11/24,17
2018/11/25,32
2018/11/26,32
2018/11/27,43
2018/11/28,50
2018/11/29,45
2018/11/30,59
2018/12/01,72
2018/12/02,-999
2018/12/03,-999
2018/12/04,-999
2018/12/05,76
2018/12/06,51
2018/12/07,81
2018/12/08,28
2018/12/09,34
2018/12/10,13
2018/12/11,23
2018/12/12,38
2018/12/13,34
2018/12/14,37
2018/12/15,62
2018/12/16,77
2018/12/17,72
2018/12/18,87
2018/12/19,61
2018/12/20,35
2018/12/21,43
2018/12/22,44
2018/12/23,45
2018/12/24,38
2018/12/25,40
2018/12/26,42
2018/12/27,60
2018/12/28,73
2018/12/29,88
2018/12/30,59
2018/12/31,59
