Stazione, Monza Parco
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,38
2018/01/02,19
2018/01/03,19
2018/01/04,18
2018/01/05,47
2018/01/06,36
2018/01/07,41
2018/01/08,32
2018/01/09,25
2018/01/10,25
2018/01/11,36
2018/01/12,37
2018/01/13,40
2018/01/14,50
2018/01/15,61
2018/01/16,40
2018/01/17,34
2018/01/18,18
2018/01/19,35
2018/01/20,45
2018/01/21,7
2018/01/22,34
2018/01/23,66
2018/01/24,78
2018/01/25,86
2018/01/26,93
2018/01/27,38
2018/01/28,39
2018/01/29,60
2018/01/30,43
2018/01/31,46
2018/02/01,-999
2018/02/02,-999
2018/02/03,34
2018/02/04,36
2018/02/05,32
2018/02/06,34
2018/02/07,26
2018/02/08,36
2018/02/09,27
2018/02/10,40
2018/02/11,47
2018/02/12,42
2018/02/13,19
2018/02/14,37
2018/02/15,59
2018/02/16,80
2018/02/17,91
2018/02/18,52
2018/02/19,11
2018/02/20,35
2018/02/21,36
2018/02/22,30
2018/02/23,34
2018/02/24,43
2018/02/25,17
2018/02/26,18
2018/02/27,20
2018/02/28,43
2018/03/01,50
2018/03/02,98
2018/03/03,44
2018/03/04,35
2018/03/05,60
2018/03/06,53
2018/03/07,35
2018/03/08,26
2018/03/09,39
2018/03/10,19
2018/03/11,-999
2018/03/12,-999
2018/03/13,-999
2018/03/14,36
2018/03/15,-999
2018/03/16,-999
2018/03/17,-999
2018/03/18,-999
2018/03/19,-999
2018/03/20,-999
2018/03/21,26
2018/03/22,-999
2018/03/23,23
2018/03/24,-999
2018/03/25,-999
2018/03/26,32
2018/03/27,34
2018/03/28,34
2018/03/29,49
2018/03/30,24
2018/03/31,13
2018/04/01,4
2018/04/02,12
2018/04/03,27
2018/04/04,-999
2018/04/05,-999
2018/04/06,44
2018/04/07,42
2018/04/08,-999
2018/04/09,-999
2018/04/10,29
2018/04/11,-999
2018/04/12,-999
2018/04/13,-999
2018/04/14,-999
2018/04/15,21
2018/04/16,-999
2018/04/17,-999
2018/04/18,-999
2018/04/19,-999
2018/04/20,-999
2018/04/21,-999
2018/04/22,-999
2018/04/23,-999
2018/04/24,28
2018/04/25,24
2018/04/26,-999
2018/04/27,33
2018/04/28,30
2018/04/29,22
2018/04/30,4
2018/05/01,-999
2018/05/02,2
2018/05/03,19
2018/05/04,26
2018/05/05,29
2018/05/06,34
2018/05/07,23
2018/05/08,-999
2018/05/09,23
2018/05/10,23
2018/05/11,21
2018/05/12,23
2018/05/13,9
2018/05/14,3
2018/05/15,5
2018/05/16,11
2018/05/17,7
2018/05/18,13
2018/05/19,-999
2018/05/20,-999
2018/05/21,-999
2018/05/22,-999
2018/05/23,-999
2018/05/24,22
2018/05/25,29
2018/05/26,37
2018/05/27,37
2018/05/28,24
2018/05/29,15
2018/05/30,30
2018/05/31,19
2018/06/01,8
2018/06/02,12
2018/06/03,12
2018/06/04,20
2018/06/05,21
2018/06/06,12
2018/06/07,12
2018/06/08,8
2018/06/09,10
2018/06/10,10
2018/06/11,21
2018/06/12,49
2018/06/13,38
2018/06/14,-999
2018/06/15,22
2018/06/16,-999
2018/06/17,-999
2018/06/18,-999
2018/06/19,19
2018/06/20,19
2018/06/21,18
2018/06/22,19
2018/06/23,11
2018/06/24,16
2018/06/25,19
2018/06/26,5
2018/06/27,13
2018/06/28,8
2018/06/29,6
2018/06/30,8
2018/07/01,14
2018/07/02,12
2018/07/03,24
2018/07/04,-999
2018/07/05,-999
2018/07/06,-999
2018/07/07,-999
2018/07/08,-999
2018/07/09,-999
2018/07/10,15
2018/07/11,12
2018/07/12,21
2018/07/13,19
2018/07/14,17
2018/07/15,15
2018/07/16,4
2018/07/17,9
2018/07/18,15
2018/07/19,13
2018/07/20,-999
2018/07/21,-999
2018/07/22,-999
2018/07/23,-999
2018/07/24,-999
2018/07/25,-999
2018/07/26,-999
2018/07/27,6
2018/07/28,-999
2018/07/29,-999
2018/07/30,15
2018/07/31,19
2018/08/01,21
2018/08/02,17
2018/08/03,21
2018/08/04,20
2018/08/05,18
2018/08/06,21
2018/08/07,10
2018/08/08,14
2018/08/09,23
2018/08/10,17
2018/08/11,27
2018/08/12,-999
2018/08/13,-999
2018/08/14,-999
2018/08/15,-999
2018/08/16,-999
2018/08/17,-999
2018/08/18,-999
2018/08/19,-999
2018/08/20,-999
2018/08/21,19
2018/08/22,19
2018/08/23,20
2018/08/24,12
2018/08/25,18
2018/08/26,-999
2018/08/27,-999
2018/08/28,12
2018/08/29,10
2018/08/30,29
2018/08/31,14
2018/09/01,7
2018/09/02,8
2018/09/03,-999
2018/09/04,11
2018/09/05,12
2018/09/06,24
2018/09/07,24
2018/09/08,22
2018/09/09,22
2018/09/10,28
2018/09/11,34
2018/09/12,34
2018/09/13,30
2018/09/14,17
2018/09/15,28
2018/09/16,25
2018/09/17,29
2018/09/18,19
2018/09/19,24
2018/09/20,31
2018/09/21,28
2018/09/22,32
2018/09/23,23
2018/09/24,12
2018/09/25,-999
2018/09/26,-999
2018/09/27,-999
2018/09/28,-999
2018/09/29,22
2018/09/30,24
2018/10/01,13
2018/10/02,11
2018/10/03,22
2018/10/04,28
2018/10/05,36
2018/10/06,42
2018/10/07,25
2018/10/08,34
2018/10/09,43
2018/10/10,46
2018/10/11,37
2018/10/12,19
2018/10/13,37
2018/10/14,28
2018/10/15,34
2018/10/16,38
2018/10/17,40
2018/10/18,41
2018/10/19,41
2018/10/20,46
2018/10/21,42
2018/10/22,6
2018/10/23,21
2018/10/24,15
2018/10/25,55
2018/10/26,34
2018/10/27,15
2018/10/28,6
2018/10/29,-999
2018/10/30,-999
2018/10/31,13
2018/11/01,21
2018/11/02,35
2018/11/03,20
2018/11/04,27
2018/11/05,16
2018/11/06,13
2018/11/07,-999
2018/11/08,24
2018/11/09,19
2018/11/10,24
2018/11/11,20
2018/11/12,29
2018/11/13,26
2018/11/14,48
2018/11/15,32
2018/11/16,-999
2018/11/17,-999
2018/11/18,-999
2018/11/19,-999
2018/11/20,-999
2018/11/21,45
2018/11/22,42
2018/11/23,45
2018/11/24,19
2018/11/25,28
2018/11/26,20
2018/11/27,21
2018/11/28,28
2018/11/29,32
2018/11/30,50
2018/12/01,69
2018/12/02,75
2018/12/03,72
2018/12/04,60
2018/12/05,60
2018/12/06,52
2018/12/07,78
2018/12/08,19
2018/12/09,17
2018/12/10,10
2018/12/11,-999
2018/12/12,31
2018/12/13,22
2018/12/14,24
2018/12/15,63
2018/12/16,72
2018/12/17,71
2018/12/18,98
2018/12/19,69
2018/12/20,31
2018/12/21,55
2018/12/22,36
2018/12/23,37
2018/12/24,36
2018/12/25,40
2018/12/26,42
2018/12/27,65
2018/12/28,84
2018/12/29,67
2018/12/30,42
2018/12/31,45
