u-r color,Mr luminosity,log10density,redshift,velocity of dispersion of host cluster (-99 if not in a cluster)
1.746,-20.39,-0.6239,0.079,1844
2.491,-20.9,-0.4188,0.04746,332.5
1.249,-20.04,-1.32,0.06097,-99
1.725,-20.7,-0.533,0.07109,-99
2.465,-21.78,-0.4628,0.0717,-99
1.669,-18.27,-0.7699,0.02345,-99
1.641,-20.38,-0.8279,0.06829,-99
1.093,-20.13,-0.09009,0.07979,1844
1.936,-19.99,-0.5442,0.06827,-99
2.471,-19.83,-0.05875,0.04905,332.5
2.565,-21.07,-0.2488,0.04827,332.5
2.358,-20.42,0.0156,0.04972,332.5
2.187,-21.05,-0.2221,0.0797,1844
3.81,-24.05,-0.06368,0.04832,332.5
2.389,-20.09,-0.669,0.02351,-99
1.732,-19.51,-0.7589,0.02616,-99
2.206,-20.03,-0.9716,0.0723,-99
1.603,-19.52,0.2309,0.04721,332.5
1.65,-19.79,0.2442,0.0482,332.5
2.493,-22.21,0.04407,0.04802,332.5
1.781,-19.35,0.1994,0.04816,332.5
2.468,-21.11,0.06206,0.04847,332.5
2.137,-20.19,-0.024,0.04982,332.5
2.38,-20.66,-0.1936,0.07953,1844
2.035,-21.24,-0.1736,0.07997,1844
2.573,-21.7,-0.5827,0.07015,-99
1.629,-19.93,-0.2184,0.04756,332.5
2.42,-21.78,-0.3758,0.07208,-99
2.27,-20.03,-0.1387,0.04692,332.5
1.73,-19.76,-0.0389,0.04729,332.5
2.585,-22.73,0.2483,0.0473,332.5
2.737,-20.63,0.08015,0.04737,332.5
2.551,-22.14,-0.2028,0.0482,332.5
2.36,-20.53,-0.2955,0.04858,332.5
1.461,-20.01,-0.326,0.04789,332.5
2.354,-21.66,-0.2597,0.07189,-99
1.473,-19.98,-0.6346,0.0238,-99
2.21,-21.26,-0.1551,0.07028,-99
2.369,-21.69,-0.2374,0.07163,-99
2.28,-21.23,-0.3077,0.07229,-99
1.438,-20.75,-0.6357,0.07944,1844
1.247,-19.86,-1.257,0.06379,-99
1.164,-19.96,-1.195,0.06405,-99
1.623,-19.7,-0.19,0.0475,332.5
2.29,-21.56,-0.9441,0.04843,-99
1.645,-21.14,-0.9409,0.07613,-99
2.228,-21.04,-0.9111,0.07653,-99
2.519,-21.77,-0.2665,0.07221,-99
1.528,-19.51,-0.4587,0.04604,332.5
1.56,-20.58,-0.3541,0.0797,1844
2.296,-20.17,-0.6535,0.0712,-99
2.367,-19.31,-0.5008,0.04672,332.5
1.881,-20.52,-0.7642,0.07333,-99
2.382,-19.87,-0.02513,0.04634,332.5
2.444,-21.94,-0.4568,0.07981,1844
1.639,-19.84,-0.6498,0.07147,-99
2.367,-22.92,0.2627,0.07949,1844
1.456,-20.87,0.3024,0.07937,1844
1.902,-20.19,-0.1532,0.04618,332.5
2.424,-21.99,0.7186,0.07995,1844
2.47,-21.25,0.1365,0.07977,1844
2.382,-20.59,0.8718,0.07946,1844
1.946,-19.94,-0.5758,0.07126,-99
2.4,-21.43,-0.7573,0.07098,-99
1.832,-19.76,-0.9693,0.0643,-99
2.574,-22.57,-1.179,0.06397,-99
1.692,-20.28,-0.3512,0.04624,332.5
2.033,-20.33,-0.1747,0.04589,332.5
2.408,-20.82,-0.3377,0.0459,332.5
2.511,-21.81,-0.8437,0.07233,-99
2.384,-21.27,-0.8204,0.07075,-99
